question,answer,category,priority,example_situation,example_before,example_after
飲料の分類を間違えた場合は？,正確な分類で信憑性を確保してください。日本酒：獺祭・清酒・山廃仕込み、ウィスキー：響21年、その他：ビール・抹茶カクテル。「獺祭などのウィスキー」→「獺祭などの日本酒」に修正してください。,専門性・信憑性,High,飲料分類の間違い,獺祭などのウィスキー,獺祭などの日本酒
メニューの理解が間違っている場合は？,正確なメニュー分類で信憑性を向上させてください。飲み放題対象：一般的な日本酒・ビール・基本的なお酒、飲み比べ専用：響21年・獺祭2割3分・山廃仕込み（高級品）。「響21年の飲み放題」→「響21年の飲み比べ」に修正してください。,専門性・信憑性,High,メニュー理解の間違い,響21年の飲み放題,響21年の飲み比べ
「外国人観光客に」推奨なのに本文で言及がない場合は？,国際対応要素を本文に追加してください。「英語メニュー」「海外ゲスト」「外国の方」を明記し、「英語メニューもあり、隣席の海外ゲストとも交流」等、実際の国際的体験として描写してください。,外国人対応,Medium,外国人要素の欠如,言及なし,英語メニューもあり海外ゲストも多く
英語メニューの言及が不自然な場合は？,自然な文脈で国際対応を描写してください。「英語メニューがあります」のような突然の情報ではなく、「英語メニューもあり、海外ゲストも多く国際的な雰囲気」として体験談に自然に織り込んでください。,外国人対応,Medium,不自然な英語メニュー言及,英語メニューがあります,英語メニューもあり海外ゲストも多く国際的な雰囲気
文頭パターンが単調な場合はどうする？,導入部バリエーションを適用してください。Pattern1：体験直接「○○を味わいました」、Pattern2：印象重視「○○が印象的」、Pattern3：発見感「○○を発見」、Pattern4：感情表現「○○でびっくり」、Pattern5：状況描写「○○の雰囲気が」等を使い分けてください。,文体自然化,Low,単調な文頭パターン,同じ文頭の繰り返し,バリエーション豊富な導入部
レコメンド文が機械的な場合は？,自然な推奨表現に修正してください。「○○におすすめです」の連発ではなく「○○にぴったり」「○○にいい選択」「○○におすすめします」等のバリエーションを使い、推奨理由も含めて自然に表現してください。,文体自然化,Low,機械的な推奨表現,○○におすすめですの連発,○○にぴったり等のバリエーション
接続詞が硬すぎる場合は？,自然な口語接続に修正してください。「また」「さらに」「加えて」ではなく「あと」「それと」「ちなみに」等を使用してください。若い世代ほどカジュアルな接続詞を使い、完全な口語より微妙なミックスを心がけてください。,文体自然化,Low,硬い接続詞,また・さらに・加えて,あと・それと・ちなみに
日本刀・抜刀術・武術等の言及があった場合は？,バーでは現実的でないため即座に削除してください。日本刀の抜刀術、武術指導、刀剣類の展示等はバーの体験談として不自然です。和風要素は「和風照明」「和モダンな内装」「日本酒」「抹茶カクテル」等の適切な範囲に留めてください。,禁止表現検出,Critical,バーで非現実的な武術要素,日本刀の抜刀術まで教えていただき,和風照明が美しく日本酒の種類も豊富で
絵文字を使用してしまった場合はどうすべきですか？,絵文字は完全に削除してください。😊🎉✨等の絵文字は一切使用禁止です。感情表現は文字で自然に表現し、「嬉しかった」「楽しめた」「素晴らしい」等の言葉で代替してください。,禁止表現検出,Critical,絵文字の使用,とても美味しかったです😊,とても美味しかったです
具体的な武将名を使用してしまった場合は？,即座に削除し一般的な表現に変更してください。源義経・織田信長・豊臣秀吉・徳川家康等の具体的武将名は使用禁止です。和風要素は「武将」「侍」「戦国時代」等の一般的表現に留めてください。,禁止表現検出,Critical,具体的武将名の使用,源義経のような武将の話を聞きながら,武将の話を聞きながら
関係ない酒類名を使用してしまった場合は？,店舗に関係ない酒類は削除してください。スコッチ・バーボン・ウォッカ・ジン等の関係ない酒類名は使用禁止です。日本酒バーなので「日本酒」「獺祭」「響21年」「山廃仕込み」等の適切な酒類のみ使用してください。,禁止表現検出,Critical,関係ない酒類の使用,スコッチとバーボンのテイスティング,日本酒の飲み比べ
指定されていないワードを勝手に追加した場合は？,指定要素以外は使用しないでください。「侍のコスプレ体験」「将軍」「清酒」等の未指定ワードは使用禁止です。指定されたエリア・業種・USP・環境・サブ要素のみを使用して自然な体験談を創作してください。,禁止表現検出,Critical,未指定ワードの追加,侍のコスプレ体験ができて,和風の雰囲気で
Note説明文を出力してしまった場合は？,Note説明文は完全に削除してください。「Note:」「注意:」「備考:」「特徴:」「解説:」等の説明文は一切出力禁止です。純粋なレビューテキストのみを出力し、説明や注釈は含めないでください。,禁止表現検出,Critical,Note説明文の出力,とても良かったです。Note: この店舗は...,とても良かったです
指定されたワード以外を使用してしまった場合は？,指定されたワードのみを厳守して使用してください。与えられたエリア・業種・USP・環境・サブ要素以外のワードは一切使用禁止です。「老舗」「名店」「有名店」等の未指定ワードや、勝手な形容詞の追加は禁止です。,禁止表現検出,Critical,未指定ワードの使用,袋西口で知られる老舗に,池袋西口のSHOGUN BARに
地名を不完全に表記してしまった場合は？,正確な地名で修正してください。「袋西口」「池袋西」「西口」等の不完全な地名表記は禁止です。必ず「池袋西口」として完全に正確に表記してください。,禁止表現検出,Critical,不完全な地名表記,袋西口で知られる,池袋西口で知られる
大げさで不自然な表現を使用してしまった場合は？,自然で親しみやすい表現に修正してください。「長年の懸案を抱えて」「重大な決意で」「深刻な思いで」等の大げさな表現は禁止です。「前から気になっていて」「時間ができて」「話題を聞いて」等の自然な表現を使用してください。,禁止表現検出,High,大げさで不自然な表現,長年の懸案を抱えて足を運んだ,前から気になっていて行ってみた
与えられた要素を厳守していない場合は？,指定された要素のみを使用して創作してください。エリア・業種・USP・環境・サブ要素として与えられたワード以外は使用禁止です。形容詞や言い回し、構成で変化をつけ、指定ワードを自然に織り込んで多様性を表現してください。,基本ルール遵守,Critical,指定要素の無視,指定外のワードを多用,指定されたワードのみで自然な体験談を創作
環境依存文字を使用してしまった場合は？,環境依存文字は即座に削除または標準文字に変更してください。◆◇■□●○★☆等の特殊記号、①②③等の丸数字、㍿㈱等の単位記号は使用禁止です。強調は「とても」「すごく」「かなり」等の文字表現を使用してください。,禁止表現検出,Critical,環境依存文字の使用,◆◆や楽しめて,とても楽しめて
特殊記号で強調してしまった場合は？,自然な文字表現で強調してください。★☆■□◆◇等の記号による強調は禁止です。「本当に」「とても」「すごく」「かなり」「めちゃくちゃ」等の自然な強調表現を使用してください。,禁止表現検出,High,特殊記号による強調,★すごく美味しい★,本当に美味しい
限定的で個人的すぎるシチュエーションを設定してしまった場合は？,一般的で自然な来店動機に修正してください。「長年の習慣を変えて」「50歳の誕生日を祝うため」「人生の節目として」等の限定的すぎるシーンは禁止です。「前から気になっていて」「時間ができて」「話題を聞いて」「仕事帰りに」等の一般的な動機を使用してください。,禁止表現検出,High,限定的すぎるシチュエーション,長年の習慣であった自宅での晩酌を変えてみようと自分の50歳の誕生日を祝うため,前から気になっていて時間ができたので
特定の年齢や記念日を詳細に言及してしまった場合は？,一般的な表現に修正してください。「50歳の誕生日」「結婚記念日」「昇進祝い」等の具体的すぎる個人的事情は禁止です。「特別な日に」「記念日に」「お祝いで」程度の一般的な表現に留めてください。,禁止表現検出,High,具体的すぎる個人的事情,50歳の誕生日を祝うため,特別な日のお祝いで
個人的な生活習慣を詳細に描写してしまった場合は？,一般的な来店理由に修正してください。「長年の習慣であった自宅での晩酌」「毎晩のルーティン」「日課の変更」等の個人的すぎる生活描写は禁止です。「いつもと違う場所で」「新しい体験として」程度の自然な表現を使用してください。,禁止表現検出,Medium,個人的すぎる生活習慣の描写,長年の習慣であった自宅での晩酌を変えてみようと,いつもと違う場所でお酒を楽しもうと
ビールと飲み比べを間違って組み合わせてしまった場合は？,正確なメニュー分類で修正してください。ビールは飲み放題のメニューであり飲み比べではありません。「ビールの飲み比べ」「ビール飲み比べ」は禁止です。飲み比べは日本酒と焼酎のみです。「ビールも飲み放題で楽しめて」「日本酒の飲み比べも体験」のように正確に分けて表現してください。,メニュー分類,Critical,ビールと飲み比べの誤った組み合わせ,ビールの飲み比べがめっちゃ推せる,ビールも飲み放題で楽しめて日本酒の飲み比べも体験
飲み比べの対象を間違えてしまった場合は？,飲み比べは日本酒と焼酎のみです。ビール・ウィスキー・カクテル等は飲み比べの対象外です。「ビール飲み比べ」「ウィスキー飲み比べ」「カクテル飲み比べ」は禁止です。「日本酒の飲み比べ」「焼酎の飲み比べ」のみ使用してください。,メニュー分類,Critical,飲み比べ対象の間違い,ビール飲み比べセット,日本酒の飲み比べ
ビールを飲み比べメニューとして言及してしまった場合は？,ビールは飲み放題メニューとして修正してください。ビールは単品飲み放題の一部であり、比較テイスティングの対象ではありません。「ビールの種類も豊富で」「ビールも飲み放題に含まれて」「ビールから日本酒まで飲み放題で」のように飲み放題の一部として表現してください。,メニュー分類,High,ビールの飲み比べ言及,ビールの飲み比べも楽しめて,ビールも飲み放題に含まれて
